# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "4" "-a" "/home/bit/project/yeast_stress/data/Saccharomyces_cerevisiae.R64-1-1.59.gtf" "-o" "/home/bit/project/yeast_stress/results/counts/gene_counts.txt" "/home/bit/project/yeast_stress/results/alignment/SRR636633_sorted.bam" "/home/bit/project/yeast_stress/results/alignment/SRR636634_sorted.bam" "/home/bit/project/yeast_stress/results/alignment/SRR636635_sorted.bam" "/home/bit/project/yeast_stress/results/alignment/SRR636636_sorted.bam" "/home/bit/project/yeast_stress/results/alignment/SRR636637_sorted.bam" "/home/bit/project/yeast_stress/results/alignment/SRR636638_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/bit/project/yeast_stress/results/alignment/SRR636633_sorted.bam	/home/bit/project/yeast_stress/results/alignment/SRR636634_sorted.bam	/home/bit/project/yeast_stress/results/alignment/SRR636635_sorted.bam	/home/bit/project/yeast_stress/results/alignment/SRR636636_sorted.bam	/home/bit/project/yeast_stress/results/alignment/SRR636637_sorted.bam	/home/bit/project/yeast_stress/results/alignment/SRR636638_sorted.bam
tM(CAU)O1	XV	710201	710272	+	72	2	2	2	0	2	0
YOR211C	XV	738924	741569	-	2646	844	806	833	1105	1134	985
YOR191W	XV	692475	697334	+	4860	1728	1175	1304	1658	1448	1402
YOL064C	XV	206103	207176	-	1074	1583	1325	1461	4790	3969	3706
tT(AGU)O1	XV	113802	113874	+	73	0	0	0	0	0	0
YOL049W	XV	238619	240094	+	1476	2426	1932	2123	7702	5466	4990
YOL043C	XV	248392	249534	-	1143	268	184	171	184	473	499
YOR043W	XV	410870	412330	+	1461	1933	1714	1944	4985	4141	4022
YOR331C	XV	943565	944122	-	558	0	1	0	0	0	0
YOR309C	XV	896698	897078	-	381	162	190	235	4	18	14
YOR104W	XV	517642	518490	+	849	214	190	192	294	190	205
YOL114C	XV	103317	103925	-	609	36	20	18	23	28	30
YOR300W	XV	880575	880883	+	309	8	5	12	8	3	12
YOR220W	XV	755328	756125	+	798	332	568	296	2379	2318	2382
YOR378W	XV	1049511	1051058	+	1548	234	223	207	279	230	163
YOL059W	XV	217126	218448	+	1323	5109	4481	4559	3545	5025	5750
YOR386W	XV	1066839	1068536	+	1698	148	145	125	1563	1200	1213
YOL027C	XV	272003	273724	-	1722	1548	1406	1430	668	1047	1041
snR62	XV	409765	409864	-	100	24	21	15	162	236	234
snR17a	XV;XV	780107;780278	780120;780596	+;+	333	81	85	15	87	63	61
YOL155C	XV	28703	31606	-	2904	3364	2391	3278	10515	4939	4859
YOR375C	XV	1041678	1043042	-	1365	6421	6631	7058	5232	5264	5066
snR35	XV	759326	759529	-	204	26	32	13	46	56	60
YOR100C	XV	513295	514278	-	984	14	20	9	71	58	51
YOL026C	XV	274012	274353	-	342	364	383	394	451	510	440
YOL012C	XV	303579	303983	-	405	1548	1380	1509	1349	1049	978
YOR026W	XV	379781	380806	+	1026	526	460	496	406	488	471
YOR359W	XV	1011189	1012760	+	1572	1111	1041	1097	152	189	103
YOR250C	XV	800970	802307	-	1338	455	467	430	1332	975	936
YOL013C	XV	301380	303035	-	1656	658	740	765	1504	1463	1308
YOR272W	XV	832813	834195	+	1383	2914	2390	2713	190	226	349
tG(GCC)O2	XV	282164	282234	+	71	3	1	2	1	0	0
YOL164W-A	XV	4130	4312	+	183	17	14	12	59	27	35
YOL082W	XV	168727	169974	+	1248	460	494	441	2832	3328	3196
snR36	XV	680685	680866	-	182	21	19	16	9	19	19
YOR035C	XV	397735	400104	-	2370	670	620	629	2582	1656	1603
YOL016C	XV	294777	296120	-	1344	581	2054	655	2017	1834	2291
YOR007C	XV	338938	339978	-	1041	8025	6165	6451	15436	14160	16576
YOR325W	XV	924577	925050	+	474	1	1	1	0	2	0
YOL085W-A	XV	161579	161791	+	213	9	4	6	69	45	50
YOL160W	XV	14313	14654	+	342	20	16	8	18	11	12
YOR361C	XV	1015361	1017652	-	2292	8201	7986	8153	2897	2943	2879
YOL158C	XV	19491	21311	-	1821	3819	3267	3592	14161	7771	4991
YOR315W	XV	904760	905800	+	1041	2078	2112	2063	116	131	122
YOR010C	XV	346195	346950	-	756	171	161	192	562	464	371
YOR384W	XV	1061564	1063648	+	2085	706	669	674	2221	1985	1519
YOR234C	XV;XV	778555;779387	778859;779405	-;-	324	6373	6468	5861	375	792	957
YOR283W	XV	847453	848145	+	693	1049	898	879	665	600	677
YOR020W-A	XV	371685	371957	+	273	176	142	115	934	1075	1120
YOL045W	XV	243497	246802	+	3306	1345	1010	1108	824	881	880
YOR102W	XV	516423	516773	+	351	25	25	34	31	17	25
YOL128C	XV	78352	79479	-	1128	521	448	418	155	127	112
YOR360C	XV	1013241	1014821	-	1581	1588	1493	1590	1178	1871	1458
YOL097C	XV	136527	137825	-	1299	5205	4857	4875	1692	2032	2211
YOR164C	XV	643394	644332	-	939	1818	1572	1733	2070	1507	1691
YOR175C	XV	659815	661674	-	1860	4595	4238	4902	3620	3115	2701
tP(UGG)O1	XV;XV	301097;301163	301132;301198	+;+	72	0	0	0	0	0	0
YOR086C	XV	483219	486779	-	3561	3620	3165	3754	5302	4556	4109
YOR242C	XV	788742	789857	-	1116	87	68	86	19	11	16
YOR155C	XV	626628	627980	-	1353	758	750	718	4433	2829	2486
YOL019W-A	XV	288420	288572	+	153	0	0	0	0	0	0
YOL030W	XV	268187	269641	+	1455	7545	6523	8384	9012	6041	4276
YOR323C	XV	921535	922905	-	1371	3336	2752	3147	4773	4189	4355
YOL017W	XV	292529	294673	+	2145	350	290	247	962	747	662
YOR233W	XV	775846	778248	+	2403	1179	932	986	634	482	359
YOL037C	XV	256666	257019	-	354	5	10	14	15	35	27
YOR083W	XV	479533	480420	+	888	104	90	109	88	133	98
YOL010W	XV	307938	309041	+	1104	1379	1178	1112	135	133	100
YOR118W	XV	546857	548560	+	1704	1536	1249	1279	862	739	837
YOR128C	XV	564476	566191	-	1716	2282	2458	2482	2126	2294	2156
YOL125W	XV	83834	85264	+	1431	1052	797	854	362	355	316
YOL004W	XV	316938	321548	+	4611	2947	2357	2627	3457	2842	2589
YOR177C	XV	665785	667179	-	1395	50	38	29	50	66	83
YOR166C	XV	647126	648502	-	1377	560	496	406	226	429	337
YOR006C	XV	337680	338621	-	942	636	466	453	393	414	422
YOR324C	XV	923232	925040	-	1809	459	457	483	194	432	347
YOL024W	XV	277086	277604	+	519	10	8	12	19	8	6
YOR033C	XV	392416	394524	-	2109	796	673	634	933	796	711
YOL033W	XV	263475	265085	+	1611	302	232	235	563	485	446
YOL070C	XV	197220	198725	-	1506	836	782	628	290	696	645
YOR116C	XV	539763	544145	-	4383	4509	4564	5273	1156	1460	965
YOL067C	XV	201985	202518	-	534	310	289	273	343	460	382
YOR145C	XV	605347	606171	-	825	2008	1519	1582	315	237	183
YOR304C-A	XV	888520	888750	-	231	188	140	116	78	163	121
YOR192C	XV	698768	700567	-	1800	158	169	198	402	323	233
YOL109W	XV	110297	110638	+	342	9115	9378	6897	1121	4542	6191
YOR078W	XV	472725	473369	+	645	410	588	413	27	155	155
YOR134W	XV	578564	579793	+	1230	61	54	43	480	335	283
YOR131C	XV	572182	572838	-	657	321	256	266	1542	1071	1203
YOR368W	XV	1026843	1028048	+	1206	506	417	426	156	480	410
YOL111C	XV	108258	108896	-	639	856	766	811	1910	1491	1376
YOR168W	XV	649303	651732	+	2430	6038	5827	5480	1658	1469	1493
YOR226C	XV	761614	762084	-	471	601	761	625	3970	5273	4495
YOL162W	XV	10119	10766	+	648	35	36	22	169	81	54
YOR334W	XV	944596	946008	+	1413	176	207	223	102	144	138
YOR241W	XV	786995	788641	+	1647	1454	1241	1333	1316	1102	1106
tP(UGG)O2	XV;XV	464450;464516	464485;464551	+;+	72	0	0	0	0	0	0
YOR245C	XV	794076	795332	-	1257	730	698	647	1571	1690	1579
YOL009C	XV	309324	310139	-	816	204	247	194	389	396	430
YOR153W	XV	619840	624375	+	4536	40990	37912	41863	19031	15570	11463
YOR358W	XV	1010161	1010889	+	729	150	127	97	543	432	399
YOR335W-A	XV	946568	946648	+	81	0	0	0	0	0	0
YOR170W	XV	651858	652163	+	306	25	16	22	43	39	41
YOR267C	XV	822588	824867	-	2280	1026	860	1030	2617	2594	3045
YOR081C	XV	476939	479188	-	2250	1027	1223	1215	1115	1343	1242
YOL145C	XV	49555	52788	-	3234	2138	1880	1684	748	1833	1728
YOL156W	XV	25273	26976	+	1704	43	42	44	192	115	83
YOR322C	XV	918606	921062	-	2457	1597	1435	1590	2104	1973	1561
YOL044W	XV	247150	248301	+	1152	261	200	232	725	508	488
YOR054C	XV	427833	429857	-	2025	142	181	162	367	709	723
YOL031C	XV	266264	267529	-	1266	800	745	761	1013	845	739
YOR034C-A	XV	397426	397668	-	243	38	33	52	120	84	58
YOR306C	XV	889867	891432	-	1566	1435	1180	1251	573	454	337
YOR261C	XV	815915	816931	-	1017	1974	1807	1697	615	5453	5638
YOR293W	XV;XV	867098;867587	867149;867852	+;+	318	21017	17462	17203	1173	2180	3134
YOR062C	XV	442725	443531	-	807	70	64	71	216	225	220
YOR339C	XV	958362	958832	-	471	42	44	48	95	102	68
YOR067C	XV	451729	453462	-	1734	2201	2168	2537	1641	1487	1101
YOR312C	XV	900250	900767	-	518	21088	18303	18281	1893	3249	4518
YOR094W	XV	502795	503346	+	552	359	309	303	210	263	294
YOL135C	XV	69376	70044	-	669	207	165	167	332	289	261
YOL105C	XV	114138	115808	-	1671	1267	1124	1167	1029	767	571
YOR329W-A	XV	939348	939557	+	210	9	10	7	21	15	13
YOR197W	XV	717086	718384	+	1299	2791	2430	2709	3929	2889	2537
YOL104C	XV	116396	117454	-	1059	575	675	549	433	550	442
YOR262W	XV	817292	818335	+	1044	1093	1060	1029	500	713	509
YOR167C	XV	648804	649007	-	204	16435	15781	16335	4383	6540	6990
YOL015W	XV	297078	298838	+	1761	130	106	112	159	95	109
YOR161C	XV	636939	638558	-	1620	607	556	649	6125	3336	2644
YOR393W	XV	1080276	1081589	+	1314	0	0	0	0	0	0
YOR105W	XV	518195	518521	+	327	13	14	8	17	21	19
YOR210W	XV	738320	738532	+	213	1294	970	864	268	425	425
YOR364W	XV	1023371	1023739	+	369	6	1	4	17	10	4
YOL087C	XV	155287	158637	-	3351	878	816	810	2050	2442	2277
YOR127W	XV	561170	564193	+	3024	1419	1165	1314	1924	1379	1092
YOR184W	XV	679357	680544	+	1188	5605	4965	5342	3733	3467	3549
YOR150W	XV	611999	612490	+	492	417	430	361	989	956	813
YOR179C	XV	671845	672411	-	567	237	189	200	310	232	255
YOR340C	XV	959202	960182	-	981	1755	1394	1477	67	112	154
YOR354C	XV	1001147	1003225	-	2079	1136	934	998	1617	1193	932
YOR217W	XV	749301	751886	+	2586	1646	1315	1378	1414	1007	898
YOR298W	XV	875599	877038	+	1440	145	140	133	152	182	207
YOL006C	XV	313078	315387	-	2310	1125	974	821	210	836	773
YOR259C	XV	812395	813708	-	1314	2633	2286	2285	5017	5093	4914
YOR318C	XV;XV	911784;912433	912085;912436	-;-	306	46	52	57	40	38	25
YOR320C	XV	913619	915094	-	1476	1796	1482	1724	1502	1066	1039
YOR222W	XV	758330	759253	+	924	1020	873	966	1570	1552	1584
YOL165C	XV	1647	2078	-	432	6	4	2	20	8	13
YOL007C	XV	311342	312367	-	1026	1078	988	1104	721	699	557
YOR307C	XV	892731	894092	-	1362	1286	1205	1230	686	702	630
YOL051W	XV	234940	238185	+	3246	1126	1043	1095	1300	1347	1155
YOR091W	XV	493433	494470	+	1038	1789	1442	1209	224	250	308
YOR079C	XV	473475	474416	-	942	1111	794	950	2314	1365	1062
YOL022C	XV	280272	281498	-	1227	2021	1601	1593	490	418	487
YOR278W	XV	842817	843644	+	828	315	277	283	434	340	330
YOR024W	XV	377847	378170	+	324	2	2	2	16	15	8
YOL148C	XV	45760	47574	-	1815	475	424	364	869	861	850
YOL078W	XV	181682	185212	+	3531	653	449	460	514	469	463
tP(UGG)O3	XV;XV	980683;980752	980718;980787	+;+	72	0	2	6	2	1	3
YOR089C	XV	490196	490828	-	633	881	721	641	973	1164	1350
YOL098C	XV	132725	135838	-	3114	3722	3407	3911	5010	4304	3437
YOR171C	XV	652010	653884	-	1875	1031	915	848	1930	1489	1367
YOL089C	XV	150398	153490	-	3093	550	492	489	659	629	618
YOL150C	XV	44473	44784	-	312	4	2	2	50	74	31
YOR095C	XV	503552	504328	-	777	3462	2556	2926	132	128	144
YOL146W	XV	48864	49448	+	585	286	240	227	99	267	220
YOR224C	XV	760825	761265	-	441	3165	3403	3433	665	803	755
YOR302W	XV	882765	882842	+	78	172	196	186	195	373	384
YOR286W	XV	850280	850729	+	450	865	755	763	1672	1016	847
YOR046C	XV	414459	415907	-	1449	2690	2402	2313	1581	1566	1575
tG(CCC)O	XV	594354	594425	-	72	1	1	2	3	2	5
YOR388C	XV	1071793	1072923	-	1131	3	2	3	11	5	6
YOR228C	XV	766869	767777	-	909	220	212	181	696	693	697
YOL112W	XV	106710	108188	+	1479	742	628	581	876	799	781
YOR141C	XV	589942	592587	-	2646	988	821	790	1367	1269	1294
YOL131W	XV	73031	73357	+	327	5	3	4	49	14	14
YOR049C	XV	422668	423732	-	1065	299	257	233	334	431	331
YOL143C	XV	54595	55104	-	510	3778	2957	3681	3418	2905	3047
YOR172W	XV	654210	656570	+	2361	549	540	479	901	1019	1008
YOR149C	XV	609838	611388	-	1551	1126	1044	1190	1322	1113	816
YOL164W	XV	6175	8115	+	1941	593	545	614	1039	955	774
YOR011W	XV	349679	353863	+	4185	1390	1105	1402	631	528	396
YOR071C	XV	459480	461276	-	1797	1139	1062	1283	1913	1530	1368
YOR022C	XV	373710	375857	-	2148	341	298	275	1606	1906	1874
YOR125C	XV	559030	559731	-	702	451	464	388	1107	824	833
YOL141W	XV	56452	58539	+	2088	422	412	423	52	58	51
YOR101W	XV	515244	516173	+	930	1886	1480	1674	450	294	195
YOR263C	XV	818757	819164	-	408	5	6	4	1	1	6
YOR383C	XV	1060441	1061055	-	615	3933	2069	2837	9714	3931	2793
YOR056C	XV	430247	431626	-	1380	1846	1321	1386	322	302	356
YOL075C	XV	189658	193542	-	3885	927	823	896	1047	860	715
YOR073W-A	XV	467390	467623	+	234	0	0	1	0	0	0
YOR246C	XV	795801	796793	-	993	2494	2180	2651	1607	1307	1077
YOR042W	XV	408425	409660	+	1236	708	537	644	3240	2018	2176
YOR236W	XV	780906	781541	+	636	563	379	437	292	200	233
YOR183W	XV	678872	679261	+	390	6	11	5	5	7	5
YOR176W	XV	662401	663582	+	1182	1344	1219	1416	923	1185	1485
YOR238W	XV	783677	784588	+	912	352	297	281	229	315	300
YOR367W	XV	1026007	1026609	+	603	521	440	373	917	602	517
YOR297C	XV	874743	875321	-	579	490	466	549	467	417	371
YOR310C	XV	896825	898360	-	1536	7929	8306	8816	126	582	514
YOR063W	XV	444686	445849	+	1164	115051	97588	116302	41744	47844	63798
YOR189W	XV	689624	689974	+	351	349	282	229	489	545	569
YOL129W	XV	77560	78114	+	555	2374	2042	2415	9206	6612	5403
YOR280C	XV	844992	845792	-	801	526	419	392	1180	809	769
YOR037W	XV	401555	402655	+	1101	242	306	204	471	630	601
YOR090C	XV	491123	492841	-	1719	1095	1001	1132	2313	1676	1500
YOR313C	XV	901858	902874	-	1017	47	78	41	3	8	11
YOL032W	XV	265429	266169	+	741	137	151	138	1071	1584	2536
YOR158W	XV	632164	633120	+	957	486	396	369	454	823	747
YOR162C	XV	639560	641992	-	2433	612	474	507	3105	2560	2392
YOL092W	XV	144204	145130	+	927	4671	4216	4882	1179	1235	982
YOL061W	XV	212244	213734	+	1491	6171	5679	6048	3446	3081	2560
YOR232W	XV	774573	775259	+	687	2513	1899	1832	2180	1746	1719
YOR219C	XV	752214	755009	-	2796	981	1053	1060	1999	1699	1506
YOR182C	XV;XV	678191;678791	678379;678793	-;-	192	5977	4805	4342	564	980	1432
YOL099C	XV	132017	132508	-	492	17	12	10	8	12	8
YOR294W	XV	868340	868951	+	612	1895	1339	1415	82	83	58
YOR288C	XV	852121	853077	-	957	500	459	530	1070	779	729
YOR110W	XV	528941	530248	+	1308	551	498	502	1450	1110	1013
YOR040W	XV	407064	407921	+	858	165	147	140	706	558	467
YOL083W	XV	165714	166952	+	1239	68	81	59	1294	812	535
YOL136C	XV	67561	68754	-	1194	1515	1506	1408	1587	1268	1053
YOL130W	XV	74400	76979	+	2580	3094	2724	2825	1325	1272	1318
YOL021C	XV	282421	285426	-	3006	1698	2153	1781	641	1347	1065
YOR282W	XV	847000	847320	+	321	2	1	1	1	1	1
YOL077W-A	XV	185438	185644	+	207	348	320	305	96	374	360
YOR319W	XV	912822	913463	+	642	438	339	322	357	339	288
YOR030W	XV	386825	388684	+	1860	603	521	731	653	647	641
YOR291W	XV	861175	865593	+	4419	1444	1252	1404	1470	1462	1184
YOL077C	XV	185848	186723	-	876	3284	2677	2545	142	178	270
YOR390W	XV	1076784	1077911	+	1128	126	110	120	24	27	36
YOL052C-A	XV	231570	231755	-	186	52	37	47	8026	9537	10068
YOR123C	XV	553176	554570	-	1395	919	904	629	602	1551	1682
YOR013W	XV	356751	357221	+	471	91	82	81	78	75	66
YOR249C	XV	798674	800731	-	2058	377	330	339	540	614	602
YOR362C	XV	1017880	1018746	-	867	3266	2723	2843	8427	6755	5992
YOL058W	XV	219211	220473	+	1263	1093	1141	1177	2101	2186	1803
YOR143C	XV	601383	602342	-	960	435	374	335	252	289	299
YOR347C	XV	984942	986462	-	1521	188	140	194	2264	1497	1447
YOL157C	XV	22525	24294	-	1770	86	59	49	205	139	195
YOL057W	XV	220767	222902	+	2136	2635	2487	2764	4602	3746	3146
YOR321W	XV	916030	918291	+	2262	1697	1430	1703	3233	2130	1553
YOR015W	XV	359993	360352	+	360	485	426	504	786	723	629
YOR111W	XV	530429	531127	+	699	277	239	217	765	599	616
YOL008W	XV	310312	310935	+	624	349	260	303	881	629	648
YOR279C	XV	843698	844630	-	933	155	128	90	93	181	236
YOR394C-A	XV	1084202	1084369	-	168	2	0	4	4	1	1
YOR180C	XV	674352	675167	-	816	209	200	187	178	130	121
YOL055C	XV	224420	226075	-	1656	393	427	400	712	1031	966
snR5	XV	842403	842606	+	204	38	31	29	40	73	52
YOL139C	XV	60383	61024	-	642	8514	6458	6456	3544	2701	2933
YOR287C	XV	850937	851839	-	903	124	356	115	5	38	29
YOR198C	XV	718653	720065	-	1413	4917	4113	3991	3868	4637	4642
YOR053W	XV	427817	428158	+	342	4	1	2	5	2	6
YOL054W	XV	228614	229834	+	1221	421	331	370	431	325	298
YOR012W	XV	356543	356956	+	414	79	78	116	59	61	62
YOL118C	XV	96608	96916	-	309	140	102	93	1153	727	551
YOR034C	XV	394837	397086	-	2250	1697	1543	1719	774	513	386
YOR374W	XV	1039840	1041399	+	1560	434	597	557	3765	2295	2137
YOR018W	XV	364369	366882	+	2514	423	398	433	2930	3195	2907
YOL084W	XV	162356	165331	+	2976	44	55	66	380	373	339
YOR314W	XV	903043	903372	+	330	5	16	10	0	0	0
YOR050C	XV	424270	424617	-	348	87	68	61	131	93	73
YOR391C	XV	1078545	1079258	-	714	1	0	0	8	1	3
YOR327C	XV	930734	931081	-	348	785	669	584	868	999	1049
YOR352W	XV	997213	998244	+	1032	225	216	193	769	737	752
YOR348C	XV	986899	988782	-	1884	62	36	39	91	45	22
YOL115W	XV	101475	103229	+	1755	747	579	584	331	371	305
YOR066W	XV	449436	451325	+	1890	609	524	633	445	380	385
YOR072W-A	XV	461791	462039	+	249	22	4	11	22	10	14
YOL096C	XV	138107	139045	-	939	287	179	170	1037	664	745
tM(CAU)O2	XV	976421	976493	+	73	2	1	0	0	1	0
YOR020C	XV	370524	370844	-	321	3308	2868	2946	7188	6884	7803
YOR133W	XV	575098	577626	+	2529	9268	7842	9509	4922	3989	4061
YOR356W	XV	1007221	1009116	+	1896	970	829	983	321	412	406
YOR208W	XV	733925	736177	+	2253	373	385	345	846	941	818
YOR357C	XV	1009224	1009712	-	489	359	346	218	520	825	817
YOR277C	XV	841515	841823	-	309	16	10	11	11	3	1
YOR276W	XV	841333	841818	+	486	1139	894	913	448	352	397
YOR247W	XV	797676	798308	+	633	7000	6808	9146	3874	3741	3360
snR50	XV	259489	259578	+	90	19	22	17	31	36	28
YOL047C	XV;XV	241614;242505	242441;242747	-;-	1071	36	30	34	474	307	249
YOR221C	XV	756476	757558	-	1083	522	575	571	2385	2124	1884
YOR344C	XV	977194	978069	-	876	937	1180	904	69	542	860
YOR269W	XV	826385	827869	+	1485	596	395	509	476	455	510
YOR152C	XV	617518	618288	-	771	249	323	316	665	630	470
YOR103C	XV	516449	516841	-	393	101	99	98	125	143	122
YOR377W	XV	1046226	1047803	+	1578	1417	1177	1185	1027	948	988
YOR129C	XV	566877	569558	-	2682	530	480	537	281	235	197
YOL038C-A	XV	254926	255021	-	96	21	12	9	3	66	47
YOR156C	XV	628360	630540	-	2181	488	343	328	588	494	351
YOR329C	XV	936731	939349	-	2619	859	831	757	2234	1778	1403
YOR351C	XV	995018	996511	-	1494	85	96	127	103	98	55
YOL040C	XV	253149	253577	-	429	32442	25673	32005	3035	4660	7118
YOL159C-A	XV	15233	15505	-	273	73	111	70	128	139	115
YOR051C	XV	424846	426084	-	1239	2745	2171	2033	785	921	1132
YOR003W	XV	331455	332891	+	1437	301	215	239	759	569	461
YOR064C	XV	446079	446738	-	660	263	269	262	380	303	290
YOR073W	XV	464771	466543	+	1773	586	409	418	83	138	122
YOR201C	XV	720470	721708	-	1239	506	432	448	343	435	445
YOR065W	XV	447439	448368	+	930	478	407	449	401	912	924
YOR186W	XV	683111	683545	+	435	9	5	4	24	7	9
YOR045W	XV	413852	414037	+	186	1226	862	1013	997	762	613
YOL018C	XV	290881	292074	-	1194	401	349	396	865	1116	1042
YOL133W	XV	70325	70690	+	366	202	133	159	789	446	372
YOR087W	XV	487707	489734	+	2028	1322	1161	1298	1881	2276	1923
YOL028C	XV	270633	271370	-	738	423	348	318	993	1365	1478
YOL086C	XV	159548	160594	-	1047	245284	213403	225921	308231	258246	242247
YOL108C	XV	111431	111886	-	456	130	99	78	173	208	247
YOL023W	XV	278056	280086	+	2031	218	216	185	314	392	327
YOR011W-A	XV	355652	355858	+	207	1	6	3	3	2	6
YOR165W	XV	644566	646896	+	2331	2461	2107	2180	2016	1741	1494
YOL068C	XV	200368	201879	-	1512	1440	1251	1255	1087	1500	1460
YOR138C	XV	584309	586324	-	2016	859	646	662	2640	1658	1324
YOR016C	XV	360461	361084	-	624	1480	1359	1525	1190	1133	935
YOL121C	XV;XV	92026;92831	92440;92850	-;-	435	11785	11022	11505	925	1687	2114
YOL126C	XV	81787	82920	-	1134	2548	2713	2318	672	1499	1390
YOR235W	XV	779870	780184	+	315	2	1	1	6	2	4
YOR080W	XV	474594	476792	+	2199	614	475	417	598	563	551
YOR169C	XV	651376	651840	-	465	37	25	19	3	5	4
YOR028C	XV	383533	384420	-	888	120	142	143	685	1776	2724
YOR225W	XV	761392	761721	+	330	82	86	78	469	647	576
YOR108C-A	XV	524605	524814	-	210	0	0	0	0	0	0
YOR109W	XV	525278	528601	+	3324	1968	1700	1787	3240	2445	2083
YOL093W	XV	142815	143696	+	882	858	593	550	280	229	251
YOR147W	XV	606607	608475	+	1869	457	464	433	260	625	641
YOR218C	XV	751476	751895	-	420	10	2	7	7	6	1
YOR254C	XV	805032	807023	-	1992	4486	4374	4705	2091	2567	2453
YOL080C	XV	180558	181427	-	870	491	367	311	21	47	27
YOR161W-B	XV	637975	638235	+	261	0	0	0	0	0	0
tY(GUA)O	XV;XV	288192;288245	288230;288280	+;+	75	0	0	0	0	0	0
YOR136W	XV	580250	581359	+	1110	2727	3020	2354	25094	25647	19111
tR(ACG)O	XV	340299	340371	-	73	0	0	0	0	0	0
YOR192C-C	XV	703988	704224	-	237	15	6	15	14	5	8
YOR205C	XV	725564	727234	-	1671	431	430	415	188	262	234
YOR200W	XV	720417	720815	+	399	0	0	0	0	0	0
YOR305W	XV	889022	889750	+	729	483	422	347	170	375	371
YOR195W	XV	712866	715331	+	2466	504	578	427	31	478	459
YOL123W	XV	87844	89448	+	1605	3131	2695	2618	2196	1789	1186
YOR097C	XV	506978	507505	-	528	262	222	212	602	627	511
YOL083C-A	XV	166461	166601	-	141	0	0	0	0	0	0
YOL086W-A	XV	159173	159445	+	273	228	157	142	657	388	380
YOR337W	XV	954344	956623	+	2280	800	816	810	258	387	316
YOL100W	XV	129237	132482	+	3246	536	459	405	1224	1184	1143
YOR289W	XV	853357	854112	+	756	106	78	78	865	805	671
YOR255W	XV	807271	808107	+	837	0	0	5	2	3	4
YOR304W	XV	884514	887876	+	3363	1239	983	872	497	999	976
YOL163W	XV	9597	10106	+	510	38	39	34	184	115	88
YOR077W	XV	471899	472597	+	699	73	95	47	50	109	130
YOR074C	XV	466675	467589	-	915	390	345	371	489	503	424
YOR117W	XV	545029	546333	+	1305	2815	2628	2760	8010	6011	5220
YOR055W	XV	429478	429912	+	435	1	2	1	7	13	12
YOL166W-A	XV	585	740	+	156	0	0	0	0	0	0
YOL066C	XV	202696	204471	-	1776	594	517	562	555	608	519
YOR396W	XV	1085473	1090863	+	5391	6	3	2	7	5	1
YOR161C-C	XV	639121	639267	-	147	14	9	11	29	28	24
tV(AAC)O	XV	663812	663885	-	74	4	2	3	2	0	1
YOR151C	XV	612997	616671	-	3675	5575	4772	4858	3505	5072	4602
YOR187W	XV	684030	685343	+	1314	4692	4121	4866	9347	5708	4523
YOL001W	XV	325249	326130	+	882	546	472	530	736	611	468
YOR005C	XV	334509	337343	-	2835	434	349	371	1001	810	781
YOR199W	XV	720181	720510	+	330	81	68	49	30	43	34
YOR355W	XV	1005137	1006705	+	1569	2860	3250	3365	461	793	510
YOR290C	XV	855147	860258	-	5112	2103	1554	2051	2317	1964	1903
YOR396C-A	XV	1090015	1090497	-	483	0	0	0	0	0	0
YOR047C	XV	416347	417681	-	1335	710	599	564	483	538	504
YOL014W	XV	299693	300067	+	375	443	897	461	231	218	266
YOR244W	XV	792531	793868	+	1338	419	380	267	441	737	717
YOL102C	XV	125997	126689	-	693	537	428	395	244	375	333
YOL060C	XV	214017	216137	-	2121	1446	1290	1546	2931	3099	2521
YOL041C	XV	251267	252646	-	1380	2648	1973	1812	189	271	271
YOL116W	XV	99809	100957	+	1149	382	303	288	950	850	855
YOR353C	XV	998453	1000828	-	2376	602	487	482	831	650	572
YOR299W	XV	878435	880675	+	2241	1146	1038	1131	1878	1565	1393
YOR366W	XV	1025256	1025609	+	354	2	0	1	4	3	0
tD(GUC)O	XV	571958	572029	+	72	6	6	2	2	7	6
YOR096W	XV;XV	505794;506339	505937;506767	+;+	573	34583	30503	30764	2331	4331	5878
YOR148C	XV	608640	609197	-	558	332	236	195	254	258	267
YOR301W	XV	880965	882272	+	1308	941	722	886	935	772	627
YOR257W	XV	811008	811493	+	486	234	183	167	361	692	841
YOR135C	XV	580159	580500	-	342	39	49	33	255	364	220
YOR032W-A	XV	392176	392376	+	201	17	13	18	29	22	8
YOR223W	XV	759782	760660	+	879	186	164	150	660	620	609
YOR076C	XV	469377	471620	-	2244	548	443	409	639	676	699
YOR231C-A	XV	773163	773363	-	201	0	0	0	0	0	0
YOR316C-A	XV	907726	907935	-	210	22	14	22	23	10	5
tS(GCU)O	XV;XV	274673;274729	274709;274773	+;+	82	0	0	0	0	0	0
YOR061W	XV	441534	442553	+	1020	1739	1419	1349	1420	1512	1588
YOR025W	XV	378219	379562	+	1344	595	600	613	193	235	184
YOR371C	XV	1031489	1034182	-	2694	713	606	714	857	782	718
YOL140W	XV	58759	60030	+	1272	769	676	757	246	296	248
YOL062C	XV	210520	211995	-	1476	1941	1545	1706	4110	3119	2564
